2024-03-22 10:47:46,127 - connection - ERROR - Соединение было неожиданно сброшено клиентом: ('127.0.0.1', 57270)
2024-03-22 10:47:46,127 - connection - INFO - Клиент отключен: ('127.0.0.1', 57270)
2024-03-22 10:48:06,122 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:48:07,402 - connection - INFO - Подключение от ('127.0.0.1', 57278)
2024-03-22 10:48:07,403 - connection - INFO - Клиент подключен: ('127.0.0.1', 57278)
2024-03-22 10:48:07,404 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57278)
2024-03-22 10:48:07,404 - connection - INFO - Клиент отключен: ('127.0.0.1', 57278)
2024-03-22 10:51:33,862 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:51:35,524 - connection - INFO - Подключение от ('127.0.0.1', 57427)
2024-03-22 10:51:35,525 - connection - INFO - Клиент подключен: ('127.0.0.1', 57427)
2024-03-22 10:51:35,527 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57427)
2024-03-22 10:51:35,527 - connection - INFO - Клиент отключен: ('127.0.0.1', 57427)
2024-03-22 10:51:55,751 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:51:57,529 - connection - INFO - Подключение от ('127.0.0.1', 57436)
2024-03-22 10:51:57,530 - connection - INFO - Клиент подключен: ('127.0.0.1', 57436)
2024-03-22 10:51:57,530 - connection - INFO - Клиент отключен: ('127.0.0.1', 57436)
2024-03-22 10:57:17,497 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:57:20,955 - connection - INFO - Подключение от ('127.0.0.1', 57635)
2024-03-22 10:57:20,956 - connection - INFO - Клиент подключен: ('127.0.0.1', 57635)
2024-03-22 10:57:20,958 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57635)
2024-03-22 10:57:20,958 - connection - INFO - Клиент отключен: ('127.0.0.1', 57635)
2024-03-22 10:57:22,594 - connection - INFO - Подключение от ('127.0.0.1', 57636)
2024-03-22 10:57:22,594 - connection - INFO - Клиент подключен: ('127.0.0.1', 57636)
2024-03-22 10:57:22,595 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57636)
2024-03-22 10:57:22,595 - connection - INFO - Клиент отключен: ('127.0.0.1', 57636)
2024-03-22 10:59:17,230 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:59:21,368 - connection - INFO - Подключение от ('127.0.0.1', 57667)
2024-03-22 10:59:21,369 - connection - INFO - Клиент подключен: ('127.0.0.1', 57667)
2024-03-22 10:59:21,370 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57667)
2024-03-22 10:59:21,370 - connection - INFO - Клиент отключен: ('127.0.0.1', 57667)
2024-03-22 11:01:15,951 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 11:01:17,852 - connection - INFO - Подключение от ('127.0.0.1', 57833)
2024-03-22 11:01:17,852 - connection - INFO - Клиент подключен: ('127.0.0.1', 57833)
2024-03-22 11:01:17,853 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57833)
2024-03-22 11:01:17,853 - connection - INFO - Клиент отключен: ('127.0.0.1', 57833)
2024-03-22 11:02:24,175 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 11:02:25,826 - connection - INFO - Подключение от ('127.0.0.1', 57883)
2024-03-22 11:02:25,826 - connection - INFO - Клиент подключен: ('127.0.0.1', 57883)
2024-03-22 11:02:25,828 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57883)
2024-03-22 11:02:25,828 - connection - INFO - Клиент отключен: ('127.0.0.1', 57883)
2024-03-22 11:02:27,009 - connection - INFO - Подключение от ('127.0.0.1', 57887)
2024-03-22 11:02:27,009 - connection - INFO - Клиент подключен: ('127.0.0.1', 57887)
2024-03-22 11:02:27,010 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57887)
2024-03-22 11:02:27,010 - connection - INFO - Клиент отключен: ('127.0.0.1', 57887)
2024-03-22 11:02:27,629 - connection - INFO - Подключение от ('127.0.0.1', 57888)
2024-03-22 11:02:27,630 - connection - INFO - Клиент подключен: ('127.0.0.1', 57888)
2024-03-22 11:02:27,631 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57888)
